Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  232 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1478971,  1482447,  3476 
203 , 2709080,  2714437,  5357 , 2025980 
204 , 3720703,  3726081,  5378 , 2023267 
205 , 4731070,  4736469,  5399 , 2020755 
206 , 5740122,  5745541,  5419 , 2018124 
207 , 6747875,  6753318,  5443 , 2015530 
208 , 7754342,  7759804,  5462 , 2012953 
209 , 8759604,  8765088,  5484 , 2010546 
210 , 9763580,  9769086,  5506 , 2007974 
211 , 10766382,  10771907,  5525 , 2005623 
212 , 11767971,  11773519,  5548 , 2003201 
213 , 12768472,  12774040,  5568 , 2001022 
214 , 13767802,  13773392,  5590 , 1998682 
215 , 14766078,  14771690,  5612 , 1996574 
216 , 15763184,  15768817,  5633 , 1994233 
217 , 16759266,  16764920,  5654 , 1992185 
218 , 17754259,  17759934,  5675 , 1990007 
219 , 18748286,  18753983,  5697 , 1988076 
220 , 19741201,  19746919,  5718 , 1985851 
221 , 20733152,  20738891,  5739 , 1983923 
222 , 21724066,  21729825,  5759 , 1981848 
223 , 22714007,  22719789,  5782 , 1979905 
224 , 23702988,  23708791,  5803 , 1977983 
225 , 24690988,  24696814,  5826 , 1976023 
226 , 25678070,  25683916,  5846 , 1974184 
227 , 26664290,  26670158,  5868 , 1972462 
228 , 27649428,  27655318,  5890 , 1970298 
229 , 28633899,  28639811,  5912 , 1968964 
230 , 29617303,  29623236,  5933 , 1966829 
231 , 30599994,  30605950,  5956 , 1965405 
Число меток разделителя:  3 
0 
201 
232 
Эффективный угловой размер затеняющй спицы:  0.005813254058  0.000003339594 
Период линейных колебаний [сек]:  1.483279288732  0.000852113304   
