Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  279 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1439067,  1442294,  3227 
184 , 188856489,  188862722,  6233 , 1776766 
185 , 189744353,  189750600,  6247 , 1775742 
186 , 190631917,  190638183,  6266 , 1775147 
187 , 191518967,  191525248,  6281 , 1774115 
188 , 192405712,  192412012,  6300 , 1773509 
189 , 193291957,  193298270,  6313 , 1772503 
190 , 194177931,  194184266,  6335 , 1771970 
191 , 195063365,  195069714,  6349 , 1770882 
192 , 195948568,  195954937,  6369 , 1770426 
193 , 196833235,  196839616,  6381 , 1769346 
194 , 197717673,  197724073,  6400 , 1768895 
195 , 198601567,  198607981,  6414 , 1767802 
196 , 199485271,  199491705,  6434 , 1767428 
197 , 200368424,  200374874,  6450 , 1766322 
198 , 201251328,  201257797,  6469 , 1765827 
199 , 202133774,  202140257,  6483 , 1764906 
200 , 203015964,  203022464,  6500 , 1764397 
201 , 584789,  589461,  4672 , 8185070414 
202 , 1544428,  1549115,  4687 , 1919293 
203 , 2502857,  2507561,  4704 , 1916875 
204 , 3459858,  3464578,  4720 , 1914018 
205 , 4415755,  4420491,  4736 , 1911810 
206 , 5370161,  5374913,  4752 , 1908828 
207 , 6323534,  6328303,  4769 , 1906763 
208 , 7275467,  7280252,  4785 , 1903882 
209 , 8226375,  8231176,  4801 , 1901832 
210 , 9175916,  9180733,  4817 , 1899098 
211 , 10124440,  10129273,  4833 , 1897064 
212 , 11071634,  11076483,  4849 , 1894404 
213 , 12017825,  12022681,  4856 , 1892389 
214 , 12962725,  12967606,  4881 , 1889825 
215 , 13906617,  13911515,  4898 , 1887801 
216 , 14849303,  14854216,  4913 , 1885387 
217 , 15791013,  15795944,  4931 , 1883438 
218 , 16731534,  16736479,  4945 , 1881056 
219 , 17671121,  17676084,  4963 , 1879192 
220 , 18609536,  18614516,  4980 , 1876847 
221 , 19547072,  19552068,  4996 , 1875088 
222 , 20483453,  20488463,  5010 , 1872776 
223 , 21418990,  21424017,  5027 , 1871091 
224 , 22353429,  22358472,  5043 , 1868894 
225 , 23286998,  23292059,  5061 , 1867156 
226 , 24219527,  24224604,  5077 , 1865074 
227 , 25151180,  25156272,  5092 , 1863321 
228 , 26081807,  26086917,  5110 , 1861272 
229 , 27011608,  27016732,  5124 , 1859616 
230 , 27940410,  27945551,  5141 , 1857621 
231 , 28868405,  28873561,  5156 , 1856005 
232 , 560071,  564728,  4657 , 8533317425 
233 , 1521097,  1525769,  4672 , 1922067 
234 , 2480957,  2485645,  4688 , 1919736 
235 , 3439273,  3443976,  4703 , 1916647 
236 , 4396451,  4401172,  4721 , 1914374 
237 , 5352124,  5356860,  4736 , 1911361 
238 , 6306716,  6311468,  4752 , 1909200 
239 , 7259848,  7264615,  4767 , 1906279 
240 , 8211880,  8216666,  4786 , 1904083 
241 , 9162515,  9167316,  4801 , 1901285 
242 , 10112119,  10116938,  4819 , 1899226 
243 , 11060370,  11065203,  4833 , 1896516 
244 , 12007578,  12012429,  4851 , 1894434 
245 , 12953517,  12958383,  4866 , 1891893 
246 , 13898442,  13903326,  4884 , 1889868 
247 , 14842100,  14846998,  4898 , 1887330 
248 , 15784785,  15789702,  4917 , 1885389 
249 , 16726247,  16731179,  4932 , 1882939 
250 , 17666767,  17671715,  4948 , 1881056 
251 , 18606123,  18611087,  4964 , 1878728 
252 , 19544550,  19549531,  4981 , 1876871 
253 , 20481842,  20486839,  4997 , 1874600 
254 , 21418241,  21423255,  5014 , 1872815 
255 , 22353500,  22358529,  5029 , 1870533 
256 , 23287941,  23292987,  5046 , 1868899 
257 , 24221266,  24226327,  5061 , 1866665 
258 , 25153778,  25158857,  5079 , 1865042 
259 , 26085974,  26090297,  4323 , 1863636 
260 , 27015860,  27020972,  5112 , 1860561 
261 , 27945464,  27950592,  5128 , 1859224 
262 , 28874299,  28879441,  5142 , 1857684 
263 , 449568,  502769,  53201 , 8533133189 
264 , 1273194,  1326490,  53296 , 1647347 
265 , 2096844,  2150200,  53356 , 1647360 
266 , 2920796,  2974218,  53422 , 1647970 
267 , 3744574,  3798048,  53474 , 1647608 
